"gid" "Title" "Platform" "Metascore" "Avg_Userscore" "Single_player" "Action" "General" "First-Person" "Shooter" "Traditional" "Role-Playing" "Adventure" "Arcade" "Sci-Fi" "Fantasy" "Open-World" "Strategy" "Miscellaneous" "Historic" "2D" "Tactical" "Third-Person" "Real-Time" "Sports" "Racing" "Platformer" "Modern" "Action Adventure" "Team"
"117" 117 "Tony Hawk's Pro Skater 3" "Xbox" 17 54 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0
"118" 118 "Divinity: Original Sin II" "PC" 17 59 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"119" 119 "Unreal Tournament 2004" "PC" 17 63 0 1 0 1 1 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"120" 120 "BioShock Infinite" "Xbox360" 17 60 0 1 0 1 1 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"121" 121 "Braid" "Xbox360" 17 60 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0
"122" 122 "God of War II" "PlayStation2" 17 64 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0
"123" 123 "Super Mario 3D World" "WiiU" 17 64 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0
"124" 124 "Starcraft II: Wings of Liberty" "PC" 17 57 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0
"125" 125 "SSX" "PlayStation2" 17 59 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0
"126" 126 "Street Fighter IV" "Xbox360" 17 48 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0
"127" 127 "Minecraft" "PC" 17 50 0 0 0 1 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0
